
# Generation Number  Best Fitness  Average Fitness  Worst Fitness
 253  1.658188  1.495082  1.373271
 254  1.589794  1.498385  1.380223
 255  1.588946  1.498558  1.377108
 256  1.600488  1.500680  1.377505
 257  1.596564  1.500374  1.406198
 258  1.649214  1.502930  1.350086
 259  1.667983  1.499103  1.395284
 260  1.658236  1.500584  1.276630
 261  1.579526  1.501201  1.371945
 262  1.597162  1.500492  1.366174
 263  1.724121  1.500338  1.216377
 264  1.603913  1.499044  1.340485
 265  1.594087  1.500804  1.368749
 266  1.599760  1.502653  1.336614
 267  1.600239  1.499270  1.300648
 268  1.626055  1.497092  1.276558
 269  1.659047  1.499161  1.330635
 270  1.630325  1.502904  1.383462
 271  1.628908  1.500285  1.365322
 272  1.636683  1.504278  1.357865
 273  1.625813  1.502111  1.331239
 274  1.626274  1.503078  1.379107
 275  1.588679  1.498493  1.360881
 276  1.576766  1.500343  1.342711
 277  1.610719  1.500627  1.341753
 278  1.635110  1.500724  1.346654
 279  1.616230  1.506633  1.423554
 280  1.585849  1.506684  1.362553
 281  1.669058  1.507590  1.386255
 282  1.604201  1.505362  1.374703
 283  1.636549  1.502694  1.387632
 284  1.593954  1.503295  1.412611
 285  1.592726  1.500315  1.337827
 286  1.623433  1.500620  1.344879
 287  1.577751  1.499421  1.331027
 288  1.619270  1.496967  1.335860
 289  1.607116  1.496872  1.238783
 290  1.615452  1.493923  1.273123
 291  1.601961  1.494080  1.369096
 292  1.626881  1.501433  1.287988
 293  1.584196  1.499485  1.357572
 294  1.639891  1.496767  1.319887
 295  1.580706  1.496356  1.384586
 296  1.628808  1.496549  1.368872
 297  1.596050  1.495528  1.337326
 298  1.754344  1.495756  1.234926
 299  1.615020  1.502061  1.397328
 300  1.585268  1.499671  1.374147
 301  1.606231  1.504081  1.391659
 302  1.589987  1.503216  1.407755
 303  1.581446  1.506573  1.404859
 304  1.605079  1.508164  1.382024
 305  1.601315  1.502749  1.357459
 306  1.599769  1.503633  1.403570
 307  1.584401  1.504171  1.406879
 308  1.660561  1.506226  1.341042
 309  1.632283  1.505818  1.416900
 310  1.604056  1.507153  1.407819
 311  1.603358  1.504352  1.384852
 312  1.609588  1.502994  1.410796
 313  1.587162  1.497776  1.373174
 314  1.604745  1.495283  1.339966
 315  1.592160  1.491862  1.334267
 316  1.607563  1.488454  1.331287
 317  1.583710  1.496506  1.357582
 318  1.598943  1.494269  1.367636
 319  1.583727  1.498297  1.392889
 320  1.607839  1.500380  1.390812
 321  1.606734  1.500412  1.362031
 322  1.623644  1.501448  1.381529
 323  1.635833  1.501680  1.339891
 324  1.620688  1.500643  1.318791
 325  1.607768  1.497977  1.324470
 326  1.593886  1.499297  1.317130
 327  1.603104  1.496099  1.298406
 328  1.598037  1.500398  1.293937
 329  1.613037  1.497796  1.266887
 330  1.595071  1.499828  1.361221
 331  1.587760  1.500278  1.372530
 332  1.603465  1.500396  1.379711
 333  1.594184  1.500256  1.359100
 334  1.735070  1.498147  1.329721
 335  1.587296  1.496305  1.329697
 336  1.587674  1.500904  1.349496
 337  1.601645  1.497926  1.389455
 338  1.594271  1.499049  1.358714
 339  1.590294  1.500588  1.387054
 340  1.659195  1.498620  1.329757
 341  1.667799  1.498386  1.255025
 342  1.810004  1.500612  1.220806
 343  1.634464  1.494044  1.274017
 344  1.604225  1.499268  1.365099
 345  1.578908  1.503131  1.402679
 346  1.591127  1.504882  1.392365
 347  1.589888  1.504101  1.361552
 348  1.682867  1.501853  1.346021
 349  1.614632  1.502555  1.347001
 350  1.586662  1.498895  1.319553
 351  1.602862  1.497011  1.304667
 352  1.595914  1.497229  1.354723
 353  1.627929  1.498156  1.389732
 354  1.637824  1.499420  1.344580
 355  1.605558  1.498422  1.282688
 356  1.614114  1.498045  1.322203
 357  1.690420  1.495607  1.363900
 358  1.646770  1.496758  1.304461
 359  1.701957  1.497836  1.310146
 360  1.580699  1.500396  1.360478
 361  1.581724  1.500550  1.413249
 362  1.607769  1.497339  1.360244
 363  1.606383  1.502011  1.364010
 364  1.675390  1.503272  1.350610
 365  1.608135  1.502084  1.380730
 366  1.609347  1.500646  1.381670
 367  1.639286  1.498886  1.359685
 368  1.597304  1.496995  1.341561
 369  1.589568  1.499748  1.362870
 370  1.605989  1.498806  1.352877
 371  1.610827  1.497166  1.388155
 372  1.623251  1.498102  1.413233
 373  1.609749  1.499165  1.403663
 374  1.647286  1.498653  1.275841
 375  1.646506  1.497433  1.364071
 376  1.622948  1.491140  1.378899
 377  1.704099  1.490057  1.251035
 378  1.595175  1.485648  1.272598
 379  1.633488  1.488153  1.253271
 380  1.638059  1.494445  1.316453
 381  1.636188  1.494636  1.303326
 382  1.617415  1.495881  1.351705
 383  1.619054  1.494373  1.347031
 384  1.608119  1.495673  1.351564
 385  1.608576  1.495091  1.333594
 386  1.655477  1.493102  1.327579
 387  1.616891  1.496926  1.338815
 388  1.631223  1.492714  1.375412
 389  1.593787  1.494868  1.388114
 390  1.598027  1.498486  1.370988
 391  1.584490  1.498185  1.360511
 392  1.578787  1.499606  1.399985
 393  1.585442  1.502729  1.387341
 394  1.592974  1.498891  1.384336
 395  1.597269  1.504571  1.399348
 396  1.602998  1.503493  1.321749
 397  1.633655  1.500953  1.402835
 398  1.586044  1.503084  1.393454
 399  1.628608  1.503403  1.404686
 400  1.602987  1.501625  1.384986
