
# Generation Number  Best Fitness  Average Fitness  Worst Fitness
 315  0.031560  0.032785  0.033907
 316  0.031592  0.032813  0.034003
 317  0.031415  0.032754  0.033758
 318  0.031444  0.032757  0.034233
 319  0.031379  0.032772  0.034381
 320  0.031545  0.032827  0.034114
 321  0.031713  0.032819  0.034318
 322  0.031639  0.032798  0.033849
 323  0.031845  0.032816  0.034257
 324  0.031604  0.032784  0.033918
 325  0.030929  0.032770  0.036398
 326  0.031530  0.032813  0.033797
 327  0.031822  0.032905  0.034324
 328  0.032114  0.033003  0.034189
 329  0.032254  0.032993  0.034144
 330  0.031616  0.033012  0.034505
 331  0.031813  0.033021  0.034855
 332  0.031901  0.033055  0.034138
 333  0.031893  0.032965  0.034275
 334  0.031633  0.032949  0.034491
 335  0.031347  0.032927  0.035232
 336  0.032024  0.032967  0.034015
 337  0.031952  0.032919  0.034501
 338  0.032228  0.032943  0.034998
 339  0.031796  0.032920  0.034617
 340  0.031746  0.032969  0.034821
 341  0.031684  0.032894  0.034274
 342  0.031735  0.032929  0.034170
 343  0.031814  0.032971  0.033985
 344  0.031923  0.032999  0.034273
 345  0.031806  0.032968  0.034234
 346  0.031891  0.032929  0.034516
 347  0.031855  0.032893  0.034019
 348  0.032031  0.032980  0.034532
 349  0.032024  0.032931  0.034097
 350  0.031723  0.032855  0.033979
 351  0.031039  0.032864  0.034577
 352  0.031725  0.032968  0.034469
 353  0.032027  0.032844  0.034159
 354  0.032023  0.032851  0.034542
 355  0.031846  0.032808  0.034164
 356  0.031193  0.032850  0.034495
 357  0.031911  0.032868  0.034000
 358  0.032044  0.032844  0.033690
 359  0.031525  0.032872  0.034617
 360  0.031526  0.032831  0.034218
 361  0.031463  0.032852  0.034044
 362  0.031463  0.032855  0.034228
 363  0.031463  0.032866  0.034329
 364  0.032129  0.032910  0.033865
 365  0.031995  0.032904  0.034169
 366  0.031899  0.032911  0.034195
 367  0.031908  0.032923  0.034686
 368  0.031885  0.032863  0.034450
 369  0.031743  0.032878  0.033638
 370  0.031807  0.032902  0.035259
 371  0.031543  0.032844  0.033744
 372  0.031694  0.032825  0.034221
 373  0.031731  0.032820  0.034056
 374  0.031584  0.032781  0.034718
 375  0.031783  0.032823  0.034201
 376  0.031745  0.032841  0.034312
 377  0.031621  0.032851  0.034227
 378  0.032122  0.032908  0.034821
 379  0.031480  0.032904  0.034712
 380  0.031367  0.032890  0.034752
 381  0.031193  0.032875  0.034306
 382  0.031260  0.032760  0.034046
 383  0.031260  0.032804  0.034741
 384  0.031921  0.032828  0.033733
 385  0.031603  0.032884  0.034477
 386  0.031603  0.032941  0.034173
 387  0.031710  0.032900  0.034098
 388  0.031517  0.032820  0.035009
 389  0.031623  0.032873  0.034421
 390  0.031899  0.032861  0.034145
 391  0.031706  0.032936  0.034427
 392  0.031054  0.032926  0.034552
 393  0.031757  0.032898  0.035131
 394  0.031618  0.032891  0.034364
 395  0.031859  0.032925  0.034249
 396  0.032272  0.032934  0.034046
 397  0.031890  0.032969  0.034822
 398  0.031886  0.032928  0.033970
 399  0.032249  0.032959  0.033866
 400  0.031948  0.032971  0.034554
 401  0.032030  0.032976  0.033823
 402  0.031610  0.032977  0.034352
 403  0.030909  0.032918  0.035662
 404  0.031682  0.032907  0.034656
 405  0.031705  0.032926  0.035223
 406  0.031467  0.032883  0.035105
 407  0.031723  0.032844  0.034073
 408  0.031770  0.032788  0.033852
 409  0.031814  0.032794  0.033866
 410  0.031333  0.032817  0.033997
 411  0.031378  0.032845  0.034228
 412  0.031683  0.032898  0.034084
 413  0.031807  0.032872  0.034401
 414  0.030995  0.032817  0.033917
 415  0.031923  0.032920  0.033909
 416  0.031323  0.032893  0.035226
 417  0.031589  0.032931  0.033970
 418  0.031693  0.032943  0.034671
 419  0.031808  0.032970  0.034727
 420  0.031828  0.032933  0.034603
 421  0.032022  0.032918  0.033880
 422  0.031742  0.032843  0.034055
 423  0.031231  0.032861  0.034456
 424  0.031696  0.032853  0.034031
 425  0.031902  0.032823  0.034122
 426  0.031837  0.032797  0.034011
 427  0.031574  0.032808  0.034130
 428  0.031170  0.032851  0.034716
 429  0.031735  0.032798  0.034029
 430  0.031148  0.032773  0.033909
 431  0.031775  0.032856  0.036075
 432  0.031605  0.032934  0.035294
 433  0.031643  0.032814  0.034255
 434  0.031456  0.032780  0.034088
 435  0.031084  0.032815  0.034495
 436  0.031552  0.032847  0.035139
 437  0.031438  0.032776  0.035210
 438  0.030806  0.032700  0.035501
 439  0.030518  0.032624  0.033597
 440  0.030540  0.032729  0.034063
 441  0.031733  0.032744  0.033939
 442  0.031775  0.032767  0.034309
 443  0.031876  0.032771  0.034294
 444  0.031165  0.032800  0.033942
 445  0.031748  0.032857  0.034781
 446  0.031761  0.032864  0.033914
 447  0.031554  0.032815  0.034894
 448  0.031716  0.032730  0.034122
 449  0.031618  0.032777  0.033970
 450  0.031222  0.032768  0.034000
 451  0.031734  0.032808  0.033978
